concept,concept_type,domain,name,description,source_url,tags,scales,indicator_url,color,drill_up,unit
name,string,,Name,,,_none,,,,,
name_long,string,,Name Long,,,_none,,,,,
name_short,string,,Name Short,,,_none,,,,,
name_catalog,string,,Name Catalog,,,_none,,,,,
description,string,,Description,,,_none,,,,,
domain,string,,Domain,,,_none,,,,,
source_url,string,,Source url,,,_none,,,,,
indicator_url,string,,Indicator url,,,_none,,,,,
drill_up,string,,drill ups,,,_none,,,,,
unit,string,,Unit,,,_none,,,,,
format,string,,Format,value formatter settings: add 'format' concept property to your measures then use 'percent' to add % sign or 'share' to multiply x100 and add a % sign,,_none,,,,,
tags,string,,Tags,,,_none,,,,,
synonym,string,,Synonym,,,_none,,,,,
scales,string,,Scales,,,_none,,,,,
geo,entity_domain,,Geographic location,,,_none,,,,,
country,entity_set,geo,Country,,,categorizations,,,,"[""world_6region"", ""income_groups"", ""landlocked"", ""g77_and_oecd_countries"", ""main_religion_2008"", ""world_4region"", ""unicef_region"", ""un_sdg_ldc"", ""un_sdg_region""]",
world_4region,entity_set,geo,World Regions,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,"{""shades"": {""fill3"": 2, ""print_stroke"": 5, ""print_fill"": 4, ""fill2"": 1, ""shade"": 3, ""fill1"": 0}, ""palette"": {""americas"": [""#7feb00"", ""#5de200"", ""#81f201"", ""#00b900"", ""#b5ea32"", ""#008d36""], ""europe"": [""#ffe700"", ""#fbdd00"", ""#fff400"", ""#fbaf09"", ""#ffe700"", ""#b17f4a""], ""africa"": [""#00d5e9"", ""#00c8ec"", ""#00e1ec"", ""#0098df"", ""#77dff7"", ""#0586c6""], ""asia"": [""#ff5872"", ""#ff5178"", ""#ff658a"", ""#da0025"", ""#fa4e73"", ""#b2043a""], ""_default"": [""#ffb600"", ""#ffaa14"", ""#ffc500"", ""#fb6d19"", ""#ffb600"", ""#9b4838""]}, ""selectable"": false}",,
world_6region,entity_set,geo,World Regions (6 colors),,,categorizations,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGBtdf1ZeO7_PQ,"{""palette"": {""east_asia_pacific"": ""#f03838"", ""sub_saharan_africa"": ""#4e7af0"", ""south_asia"": ""#35d1d1"", ""europe_central_asia"": ""#f49d37"", ""middle_east_north_africa"": ""#5be56b"", ""america"": ""#ebcc21""}, ""selectable"": false}",,
un_sdg_region,entity_set,geo,UN SDG Regions,,,categorizations,,https://unstats.un.org/sdgs/indicators/regional-groups,"{""palette"": {""un_sub_saharan_africa"":""#e11484"",""un_northern_africa_and_western_asia"":""#f99d26"",""un_central_and_southern_asia"":""#f36d25"",""un_eastern_and_south_eastern_asia"":""#279b48"",""un_oceania_exc_australia_and_new_zealand"":""#8f1838"",""un_latin_america_and_the_caribbean"":""#00aed9"",""un_australia_and_new_zealand"":""#eb1c2d"",""un_europe_and_northern_america"":""#02558b""}, ""selectable"": true}",,
g77_and_oecd_countries,entity_set,geo,G77 and OECD countries,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=tVI_UCwI1enCk4p61fWxUig,"{""palette"": {""others"": ""#f05656"", ""oecd"": ""#71c44c"", ""g77"": ""#7487ef""}}",,
global,entity_set,geo,World,,,_none,,,,,
income_groups,entity_set,geo,Income groups,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGCSmAe5aq7HKw,"{""palette"": {""upper_middle_income"": ""#a7cb7d"", ""lower_middle_income"": ""#7ea1d1"", ""high_income"": ""#7bc135"", ""low_income"": ""#4366f4""}}",,
landlocked,entity_set,geo,Landlocked,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=rBwKBodk7Y08pGiA4OAfzUA,"{""palette"": {""landlocked"": ""#f05656"", ""coastline"": ""#7487ef""}}",,
un_sdg_ldc,entity_set,geo,UN SDG Least Developed Countries,,,categorizations,,https://unstats.un.org/sdgs/indicators/regional-groups,"{""palette"": {""un_least_developed"": ""#dc2339"", ""un_not_least_developed"": ""#23DCC6""}}",,
main_religion_2008,entity_set,geo,Main religion 2008,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=0ArtujvvFrPjVdHUzTGVicFJZQ1NjaFhqelV5SDNxMVE,"{""palette"": {""muslim"": ""#71c44c"", ""christian"": ""#7487ef"", ""eastern_religions"": ""#f05656""}, ""selectable"": false}",,
unicef_region,entity_set,geo,UNICEF regions,,,categorizations,,https://docs.google.com/spreadsheets/d/1POAjAhMgUjv6Mt_FSVSgzAr7c6oUvzinpQPvhfmOuuU,"{""palette"": {""sa"": ""#961a49"", ""eca"": ""#ffc20e"", ""mena"": ""#374ea2"", ""ssa"": ""#6a1e74"", ""lac"": ""#f26a21"", ""eap"": ""#e2231a"", ""na"": ""#00833d""}}",,
tag,entity_domain,,Tag,,,_none,,,,,
time,time,,Time,,,_none,,,,,
iso3166_1_alpha2,string,,ISO 3166-1 alpha-2,,,_none,,http://www.iso.org/iso/home/standards/country_codes.htm,,,
iso3166_1_alpha3,string,,ISO 3166-1 alpha-3,,,_none,,http://www.iso.org/iso/home/standards/country_codes.htm,,,
iso3166_1_numeric,string,,ISO 3166-1 numeric,,,_none,,http://www.iso.org/iso/home/standards/country_codes.htm,,,
iso3166_2,string,,ISO 3166-2,,,_none,,https://en.wikipedia.org/wiki/ISO_3166-2,,,
unicode_region_subtag,string,,Unicode CLDR Region subtag,,,_none,,http://www.unicode.org/reports/tr35/#unicode_region_subtag_validity,,,
latitude,measure,,Latitude,,,_none,"[""linear""]",,,,degrees
longitude,measure,,Longitude,,,_none,"[""linear""]",,,,degrees
rank,measure,,Ranking order,,,_none,,,,,
topojson,string,,TopoJSON,,,_none,,,,,
color,string,,Color,,,_none,,,,,
shape_lores_svg,string,,SVG shape of geographic area, low resolution,,_none,,,,,
parent,string,,Parent,,,_none,,,,,
un_state,boolean,,UN member states and permanent observers,,,_none,,https://www.un.org/en/member-states/index.html,,,
income_3groups,entity_set,geo,Income Groups (3 levels),,,categorizations,,,,,
unhcr_region,entity_set,geo,UNHCR Regions,,,categorizations,,,,,
west_and_rest,entity_set,geo,West and Rest,,,categorizations,,,,,
person,entity_domain,,Person,,,,,,,,
last_name,string,person,Last Name,,,,,,,,
chinese_name,string,person,Chinese Name,,,,,,,,
birth_year,string,person,Birth Year,,,,,,,,
industry,string,person,Industry,,,,,,,,
company,string,person,Company,,,,,,,,
source,string,person,Source,,,,,,,,
title,string,person,Title,,,,,,,,
gender,string,person,Gender,,,,,,,,
cofounder_person,string,person,Co-Founder(s) in Dataset,,,,,,,,
ethnicity,entity_domain,,Ethnicity / National Origin*,,,,,,,,
broad_group,string,ethnicity,Broad Ethnic Group,,,,,,,,
listed_company,entity_domain,,Listed Company,,,,,,,,
cik,string,listed_company,SEC CIK,,,,,,,,
company_name,string,listed_company,Company Name,,,,,,,,
ipo_year,string,listed_company,IPO Year,,,,,,,,
ticker,string,person,Ticker Symbol,,,,,,,,
equity_stake_pct,measure,person,Equity Stake (%),,,,,,,,
voting_control_pct,measure,person,Voting Control (%),,,,,,,,
total_comp_m,measure,person,Total Compensation ($M),,,,,,,,
base_salary_k,measure,person,Base Salary ($K),,,,,,,,
stock_awards_m,measure,person,Stock Awards ($M),,,,,,,,
birth_date,string,person,Birth Date,,,,,,,,
birth_country,string,person,Birth Country,,,,,,,,
birth_city,string,person,Birth City,,,,,,,,
birth_state,string,person,Birth State,,,,,,,,
city,string,person,City of Residence,,,,,,,,
state,string,person,State of Residence,,,,,,,,
marital_status,string,person,Marital Status,,,,,,,,
number_of_children,measure,person,Number of Children,,,,,,,,
self_made_score,measure,person,Forbes Self-Made Score (1-10),,,,,,,,
self_made_type,string,person,Self-Made Type,,,,,,,,
philanthropy_score,measure,person,Forbes Philanthropy Score (1-5),,,,,,,,
education_order,measure,,Education Order,,,,,,,,
school,string,,School,,,,,,,,
degree,string,,Degree,,,,,,,,
major_lawsuit_order,measure,,Major Lawsuit Order,,,,,,,,
major_lawsuit_claim,string,,Major Lawsuit Claim (Verified),,,,,,,,
major_lawsuit_source_url,string,,Major Lawsuit Source URL,,,,,,,,
autobiography,string,person,Autobiography,,,,,,,,
biography,string,person,Biography,,,,,,,,
age_at_founding,measure,person,Age at Founding*,,,,,,,,
age_became_billionaire,measure,person,Age Became Billionaire*,,,,,,,,
age_education_ended,measure,person,Age Education Ended*,,,,,,,,
books_authored,string,person,Books Authored*,,,,,,,,
children_in_business,measure,person,Children in Business (Count)*,,,,,,,,
co_founder_skill_complement,string,person,Co-Founder Skill Complement*,,,,,,,,
employer_1,string,person,Employer 1*,,,,,,,,
employer_2,string,person,Employer 2*,,,,,,,,
employer_3,string,person,Employer 3*,,,,,,,,
estimated_inheritance_m,measure,person,Estimated Inheritance ($M)*,,,,,,,,
estimated_lifetime_giving_m,measure,person,Estimated Lifetime Giving ($M)*,,,,,,,,
heritage_detail,string,person,Heritage Detail*,,,,,,,,
family_business_type,string,person,Family Business Type*,,,,,,,,
family_office,string,person,Family Office (Y/N)*,,,,,,,,
family_office_name,string,person,Family Office Name*,,,,,,,,
family_owned_business,string,person,Family Owned Business (Y/N)*,,,,,,,,
father_occupation,string,person,Father Occupation*,,,,,,,,
first_gen_immigrant,string,person,First-Gen Immigrant (Y/N)*,,,,,,,,
first_institutional_investor,string,person,First Institutional Investor*,,,,,,,,
foundation_name,string,person,Foundation Name*,,,,,,,,
giving_pct_of_net_worth,measure,person,Giving as % of Net Worth*,,,,,,,,
giving_pledge_signatory,string,person,Giving Pledge Signatory (Y/N)*,,,,,,,,
government_roles_held,string,person,Government Roles Held*,,,,,,,,
initial_funding_detail,string,person,Initial Funding Detail*,,,,,,,,
known_art_collector,string,person,Known Art Collector (Y/N)*,,,,,,,,
known_failed_ventures,string,person,Known Failed Ventures*,,,,,,,,
major_lawsuits,string,person,Major Lawsuits*,,,,,,,,
market_position_detail,string,person,Market Position Detail*,,,,,,,,
moat_type_detail,string,person,Moat Type Detail*,,,,,,,,
mother_occupation,string,person,Mother Occupation*,,,,,,,,
notable_political_positions,string,person,Notable Political Positions*,,,,,,,,
number_of_co_founders,measure,person,Number of Co-Founders*,,,,,,,,
number_of_companies_founded,measure,person,Number of Companies Founded*,,,,,,,,
number_of_marriages,measure,person,Number of Marriages*,,,,,,,,
parent_immigrant,string,person,Parent Immigrant (Y/N)*,,,,,,,,
parent_immigration_detail,string,person,Parent Immigration Detail*,,,,,,,,
pre_wealth_bankruptcy,string,person,Pre-Wealth Bankruptcy (Y/N)*,,,,,,,,
primary_domain_expertise,string,person,Primary Domain Expertise*,,,,,,,,
party_detail,string,person,Party Affiliation Detail*,,,,,,,,
primary_philanthropic_causes,string,person,Primary Philanthropic Causes*,,,,,,,,
private_jet,string,person,Private Jet (Y/N)*,,,,,,,,
revenue_model_type_detail,string,person,Revenue Model Type Detail*,,,,,,,,
role_at_employer_1,string,person,Role at Employer 1*,,,,,,,,
role_at_employer_2,string,person,Role at Employer 2*,,,,,,,,
role_at_employer_3,string,person,Role at Employer 3*,,,,,,,,
co_founded,string,person,Co-Founded (Y/N)*,,,,,,,,
founding_detail,string,person,Founding Detail*,,,,,,,,
total_pre_founding_career_years,measure,person,Total Pre-Founding Career Years*,,,,,,,,
wealth_concentration_ratio_pct,measure,person,Wealth Concentration Ratio (%)*,,,,,,,,
yacht,string,person,Yacht (Y/N)*,,,,,,,,
year_founded,measure,person,Year Founded*,,,,,,,,
years_at_employer_1,measure,person,Years at Employer 1*,,,,,,,,
years_at_employer_2,measure,person,Years at Employer 2*,,,,,,,,
years_at_employer_3,measure,person,Years at Employer 3*,,,,,,,,
years_founding_to_1b,measure,person,Years from Founding to $1B*,,,,,,,,
initial_funding_type,entity_domain,,Initial Funding Type*,,,,,,,,
skill_profile,entity_domain,,Skill Profile*,,,,,,,,
moat_type,entity_domain,,Moat Type*,,,,,,,,
revenue_model_type,entity_domain,,Revenue Model Type*,,,,,,,,
family_socioeconomic_class,entity_domain,,Family Socioeconomic Class*,,,,,,,,
consumption_index,entity_domain,,Consumption Index*,,,,,,,,
market_position,entity_domain,,Market Position*,,,,,,,,
media_visibility,entity_domain,,Media Visibility*,,,,,,,,
parent_education_level,entity_domain,,Parent Education Level*,,,,,,,,
party,entity_domain,,Political Party*,,,,,,,,
social_media_activity,entity_domain,,Social Media Activity*,,,,,,,,
worth,measure,,"Net Worth (millions, 2021 USD)",,,,,,,,
annual_income,measure,,Annual Income (2021 USD),,,,,,,,
daily_income,measure,,Daily Income (2021 USD),,,,,,,,
average_age_of_dollar_billionaires_years,measure,,Average age of dollar billionaires (years),,,,,,,,
total_number_of_dollar_billionaires,measure,,Total number of dollar billionaires,,,,,,,,
dollar_billionaires_per_million_people,measure,,Dollar billionaires per million people,,,,,,,,
forbes_rank,measure,,Forbes Billionaire Rank,,,,,,,,
revenue_m,measure,,Revenue ($M),,,,,,,,
gross_margin_pct,measure,,Gross Margin (%),,,,,,,,
operating_margin_pct,measure,,Operating Margin (%),,,,,,,,
