time,conversion rate for 2021 dollar,note
1963,6.441,
1964,6.374,
1965,6.301,
1966,6.162,
1967,5.998,
1968,5.838,
1969,5.588,
1970,5.348,
1971,5.087,
1972,4.820,
1973,4.525,
1974,4.086,
1975,3.683,
1976,3.403,
1977,3.365,
1978,3.264,
1979,3.041,
1980,2.724,
1981,2.460,
1982,2.337,
1983,2.318,
1984,2.311,
1985,2.223,
1986,2.124,
1987,1.981,
1988,1.831,
1989,1.737,
1990,1.744,
1991,1.729,
1992,1.693,
1993,1.630,
1994,1.602,
1995,1.577,
1996,1.536,
1997,1.520,
1998,1.528,
1999,1.553,
2000,1.527,
2001,1.482,
2002,1.454,
2003,1.437,
2004,1.368,
2005,1.288,
2006,1.247,
2007,1.240,
2008,1.216,
2009,1.178,
2010,1.167,
2011,1.169,
2012,1.152,
2013,1.134,
2014,1.118,
2015,1.108,
2016,1.113,
2017,1.106,
2018,1.087,
2019,1.040,
2020,1.016,
2021,1.000,
2022,0.960,
2023,0.904,
2024,0.881,
2025,0.917,extrapolated from trend starting from 2008
2026,0.901,extrapolated from trend starting from 2008